Code,Party,Title,FileType,Language,Version,Status,SubmissionDate,EncodedAbsUrl,OriginalFilename
BRN,Brunei Darussalam,Brunei Darussalam NDC 3.0,NDC,English,,Active,2025-09-16,https://unfccc.int/sites/default/files/2025-10/%5BFinal%5D%20Brunei%20Darussalam%27s%20Nationally%20Determined%20Contribution%203.0.pdf,[Final] Brunei Darussalam's Nationally Determined Contribution 3.0.pdf
BRN,Brunei Darussalam,Brunei Darussalam First NDC,NDC,English,1,Active,2020-12-31,https://unfccc.int/sites/default/files/NDC/2022-06/Brunei%20Darussalam%27s%20NDC%202020.pdf,Brunei Darussalam's NDC 2020.pdf
BGR,Bulgaria,The NDC of the European Union and its Member States,NDC,English,,Active,2025-11-05,https://unfccc.int/sites/default/files/2025-11/DK-2025-11-05%20EU%20NDC.pdf,DK-2025-11-05 EU NDC.pdf
BGR,Bulgaria,EU First NDC (Archived),NDC,English,1,Archived,2016-11-29,https://unfccc.int/sites/default/files/LV-03-06-EU%20INDC.pdf,LV-03-06-EU INDC.pdf
BGR,Bulgaria,EU First NDC (Updated submission),NDC,English,2,Archived,2020-12-18,https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December%202020.pdf,EU_NDC_Submission_December 2020.pdf
BGR,Bulgaria,EU NDC 2023 update,NDC,English,3,Active,2023-10-19,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,ES-2023-10-17 EU submission NDC update.pdf
BFA,Burkina Faso,Burkina Faso First NDC (Archived),NDC,French,1,Archived,2016-11-11,https://unfccc.int/sites/default/files/NDC/2022-06/INDC%20BURKINA%20FASO%20280915.pdf,INDC BURKINA FASO 280915.pdf
BFA,Burkina Faso,Burkina Faso First NDC (Updated submission),NDC,French,2,Active,2021-10-09,https://unfccc.int/sites/default/files/NDC/2022-06/Rapport%20CDN_BKFA.pdf,Rapport CDN_BKFA.pdf
BFA,Burkina Faso,Burkina Faso First NDC (Archived),Translation,English,1,Archived,2016-11-11,https://unfccc.int/sites/default/files/NDC/2022-06/INDC%20Burkina_ENG.%20version_finale.pdf,INDC Burkina_ENG. version_finale.pdf
BDI,Burundi,Burundi NDC 3.0,NDC,French,,Active,2025-11-10,https://unfccc.int/sites/default/files/2025-11/CDN3.0%20%20BURUNDI.pdf,CDN3.0  BURUNDI.pdf
BDI,Burundi,Burundi First NDC (Archived),NDC,French,1,Archived,2018-01-17,https://unfccc.int/sites/default/files/NDC/2022-06/CPDN%20BURUNDI.pdf,CPDN BURUNDI.pdf
BDI,Burundi,Burundi First NDC (Updated submission),NDC,French,2,Active,2021-10-05,https://unfccc.int/sites/default/files/NDC/2022-06/CDN%20%20%20Burundi%20ANNEXE%201.pdf,CDN   Burundi ANNEXE 1.pdf
BDI,Burundi,Burundi First NDC (Archived),Translation,English,1,Archived,2018-01-17,https://unfccc.int/sites/default/files/NDC/2022-06/Burundi_INDC-english%20version.pdf,Burundi_INDC-english version.pdf
CPV,Cabo Verde,Cabo Verde NDC 3.0,NDC,English,,Active,2025-11-01,https://unfccc.int/sites/default/files/2025-11/NDC%203.0%20Cabo%20Verde.pdf,NDC 3.0 Cabo Verde.pdf
CPV,Cabo Verde,Cabo Verde First NDC(Archived),NDC,English,1,Archived,2017-09-21,https://unfccc.int/sites/default/files/NDC/2022-06/Cabo_Verde_INDC_.pdf,Cabo_Verde_INDC_.pdf
CPV,Cabo Verde,Cabo Verde First NDC(Updated submission),NDC,English,2,Active,2021-04-02,https://unfccc.int/sites/default/files/NDC/2022-06/Cabo%20Verde_NDC%20Update%202021.pdf,Cabo Verde_NDC Update 2021.pdf
KHM,Cambodia,Cambodia’s NDC 3.0,NDC,English,,Active,2025-08-08,https://unfccc.int/sites/default/files/2025-08/Cambodia-NDC%203.0_0.pdf,Cambodia-NDC 3.0_0.pdf
KHM,Cambodia,Cambodia First NDC (Archived),NDC,English,1,Archived,2017-02-06,https://unfccc.int/sites/default/files/NDC/2022-06/Cambodia%27s%20INDC%20to%20the%20UNFCCC.pdf,Cambodia's INDC to the UNFCCC.pdf
KHM,Cambodia,Cambodia First NDC (Updated submission),NDC,English,2,Archived,2020-12-31,https://unfccc.int/sites/default/files/NDC/2022-06/20201231_NDC_Update_Cambodia.pdf,20201231_NDC_Update_Cambodia.pdf
CMR,Cameroon,Official letter (Archived),Addendum,French,1,Archived,,https://unfccc.int/sites/default/files/NDC/2022-06/Lettre%20officielle%20CPDN%20Cameroun.pdf,Lettre officielle CPDN Cameroun.pdf
CMR,Cameroon,Cameroon First NDC (Updated submission),Addendum,French,2,Active,,https://unfccc.int/sites/default/files/NDC/2022-06/Lettre%20officielle%20CDN%20Cameroun%202021.pdf,Lettre officielle CDN Cameroun 2021.pdf
CMR,Cameroon,Cameroon First NDC (Archived),NDC,French,1,Archived,2016-07-29,https://unfccc.int/sites/default/files/NDC/2022-06/CPDN%20CMR%20Final.pdf,CPDN CMR Final.pdf
CMR,Cameroon,Cameroon First NDC (Updated submission),NDC,French,2,Active,2021-10-11,https://unfccc.int/sites/default/files/NDC/2022-06/CDN%20r%C3%A9vis%C3%A9e%20CMR%20finale%20sept%202021.pdf,CDN révisée CMR finale sept 2021.pdf
CAN,Canada,Canada's 2035 NDC,NDC,English,,Active,2025-02-12,https://unfccc.int/sites/default/files/2025-02/Canada%27s%202035%20Nationally%20Determined%20Contribution_ENc.pdf,Canada's 2035 Nationally Determined Contribution_ENc.pdf
CAN,Canada,Canada's 2035 NDC,NDC,French,,Active,2025-02-12,https://unfccc.int/sites/default/files/2025-02/Soumission%20officielle%20de%20la%20CDN%20du%20Canada%20-%20CCNUCC%20v2fr.pdf,Soumission officielle de la CDN du Canada - CCNUCC v2fr.pdf
CAN,Canada,Canada First NDC (Archived),NDC,French,1,Archived,2016-10-05,https://unfccc.int/sites/default/files/NDC/2022-06/CPDN%20-%20Canada%20-%20Fran%C3%A7ais.pdf,CPDN - Canada - Français.pdf
CAN,Canada,Canada First NDC (Archived),NDC,English,1,Archived,2016-10-05,https://unfccc.int/sites/default/files/NDC/2022-06/INDC%20-%20Canada%20-%20English.pdf,INDC - Canada - English.pdf
CAN,Canada,Canada First NDC (Archived),NDC,French,2,Archived,2017-05-11,https://unfccc.int/sites/default/files/NDC/2022-06/Premi%C3%A8re%20CDN%20du%20Canada%20-%20Soumission%20r%C3%A9vis%C3%A9e%202017-05-11.pdf,Première CDN du Canada - Soumission révisée 2017-05-11.pdf
CAN,Canada,Canada First NDC (Archived),NDC,English,2,Archived,2017-05-11,https://unfccc.int/sites/default/files/NDC/2022-06/Canada%20First%20NDC-Revised%20submission%202017-05-11.pdf,Canada First NDC-Revised submission 2017-05-11.pdf
CAN,Canada,Canada First NDC (updated submission),NDC,English,3,Active,2021-07-12,https://unfccc.int/sites/default/files/NDC/2022-06/Canada%27s%20Enhanced%20NDC%20Submission1_FINAL%20EN.pdf,Canada's Enhanced NDC Submission1_FINAL EN.pdf
CAN,Canada,Canada First NDC (updated submission),NDC,French,3,Active,2021-07-12,https://unfccc.int/sites/default/files/NDC/2022-06/Canada%27s%20Enhanced%20NDC.pdf,Canada's Enhanced NDC.pdf
